Modelo,Acurácia,Sensibilidade,Especificidade,AUC
logreg,0.5,0.9230769230769231,0.0,0.7692307692307694
nb,0.6666666666666666,0.46153846153846156,0.9090909090909091,0.8671328671328671
dt,0.625,0.5384615384615384,0.7272727272727273,0.6328671328671329
knn,0.75,0.6923076923076923,0.8181818181818182,0.8146853146853147
rf,0.7916666666666666,0.7692307692307693,0.8181818181818182,0.8671328671328672
