Modelo,Acurácia,Sensibilidade,Especificidade,AUC,Matriz
logreg,0.5416666666666666,1.0,0.0,0.7552447552447552,"[[ 0 11]
 [ 0 13]]"
nb,0.6666666666666666,0.5384615384615384,0.8181818181818182,0.8181818181818182,"[[9 2]
 [6 7]]"
dt,0.8333333333333334,0.8461538461538461,0.8181818181818182,0.8286713286713286,"[[ 9  2]
 [ 2 11]]"
knn,0.9166666666666666,0.9230769230769231,0.9090909090909091,0.8671328671328672,"[[10  1]
 [ 1 12]]"
rf,0.7916666666666666,0.6923076923076923,0.9090909090909091,0.888111888111888,"[[10  1]
 [ 4  9]]"
