Modelo,Acurácia Média,Sensibilidade Média,Especificidade Média,AUC Médio
logreg,0.7356060606060606,0.7238095238095238,0.7666666666666666,0.798968253968254
nb,0.6992424242424243,0.5785714285714285,0.8466666666666667,0.8080158730158731
dt,0.7113636363636364,0.7714285714285715,0.6366666666666666,0.7040476190476191
knn,0.7681818181818182,0.7976190476190477,0.7333333333333334,0.8019444444444443
rf,0.7863636363636364,0.7976190476190477,0.7666666666666667,0.8720634920634922
