Modelo,Acurácia Média,Sensibilidade Média,Especificidade Média,AUC Médio
logreg,0.7166666666666667,0.7476190476190475,0.69,0.7852380952380953
nb,0.6371212121212121,0.4333333333333334,0.8833333333333334,0.7657142857142858
dt,0.7545454545454546,0.8047619047619048,0.6933333333333334,0.749047619047619
knn,0.7674242424242425,0.7333333333333334,0.8099999999999999,0.8193253968253968
rf,0.7007575757575758,0.7214285714285713,0.67,0.7941269841269841
