Modelo,Acurácia Média,Sensibilidade Média,Especificidade Média,AUC Médio
logreg,0.7166666666666667,0.7476190476190475,0.69,0.7852380952380953
nb,0.6371212121212121,0.4333333333333334,0.8833333333333334,0.7657142857142858
dt,0.7530303030303032,0.7547619047619046,0.7466666666666667,0.7507142857142857
knn,0.7674242424242425,0.7333333333333334,0.8099999999999999,0.8193253968253968
rf,0.7265151515151514,0.7880952380952381,0.6499999999999999,0.7793650793650793
